"Word","Meaning","Usage"
"polyphony","noun:
1. The combination of independent melodic lines sounded together. For example, a fugue.
2. The representation of different sounds by a letter or symbol. For example, the letter c which can represent /s/ or /k/.
3. A multiplicity of distinct voices or perspectives.","“[Franchino Gaffurio’s] innovation reflected changes in musical style, especially a transition from largely single melodic lines to polyphony.” Caspar Henderson; Auraculous; Natural History (New York); Apr 2024. “It’s now evident to [Cassidy] McFadzean that she was ... embracing the polyphony of influences in her life. Whether in the form of overheard conversations at New York museums or quoted musings from her architect boyfriend Kourosh.” Jean Marc Ah-Sen; Sculpting Moments With Words; Toronto Star (Canada); Apr 6, 2024."
"bibble","verb tr.:	1. To eat or drink noisily.
verb intr.:	2. To drink habitually or to excess.
	3. To produce bubbles or a bubbling sound.
noun:	4. Nonsense; something worthless or deceptive.
","“You helped me avoid slang in the editing process as we bibbled and xertzed [gulped] coffee.” Jessica Dotta; Mark of Distinction; Tyndale; 2014. “He swiftly reels off assignments: ‘... The Internet aspect, new paradigm, Twitter, the Arab Spring, all that bibble.’” Emily Nussbaum; Button-Pusher; The New Yorker; Jan 5, 2015. “In June when the bonefish spawn, they bundle by the thousands just under the surface, where they bibble, panting for air and blowing and bubbling in the heat of passion.” Stanley Meltzoff; A Place of Liquid Light; Field & Stream (Miami, Florida); Feb 1993."
"jactation","noun:
1. Boasting.
2. Involuntary bodily movements, such as tossing or twitching.","“The girls from the legal pools and the courthouse clerks stood out on the sidewalks [and] engaged in conceited jactation ... Most of the talk had little to do with actual facts.” Patricia Hickman; Katrina’s Wings; Five Star; 2002. “Amidst all the pain, and relentless jactation of his body, Laurel thought he could still hear the man.” Emma Porter; The Fairy King; Xlibris; 2019."
"stela","noun: An upright stone or pillar inscribed or sculpted, often serving as a monument. Also known as a stele.","“An Egyptian stela dating from more than four and a half thousand years ago, now in the collection of the Louvre, depicts the Princess Nefertiabet dressed in what looks like elegant contemporary evening wear.” Rebecca Mead; Saving the Cat’s Pajamas; The New Yorker; Mar 28, 2022."
"moity","adjective: Containing moits -- foreign particles in wool, such as straw or bark.","“Every day’s train brought down trucks upon trucks of bales, as if the interior of Australia was one colossal wool store, just being emptied at the command of an enchanter. But the ‘heavy and moity’ parcels were not touched by the cautious operators at any price.” Rolf Boldrewood; The Squatter’s Dream; Macmillan; 1890."
"crunk","adjective:
1. Intoxicated.
2. Crazy.
3. Excited.
4. Wonderful.","“Blow a .08, you’re drunk. Blow a .18? You’re crunk: Some Memphis police officers got crunk over the weekend. About 4 am Friday they were called to ... where a white pickup being driven the wrong way had crashed into a building. The driver, a 31-year-old Florence, Ala., man, was -- in copspeak -- ‘glassy-eyed, unsteady on his feet, with the odor of intoxicant on his breath and person.’ His name? Samuel Crunk.” Daybreak; The Commercial Appeal (Memphis, Tennessee); May 18, 2005. [See nominative determinism.]"
"crwth","noun: An ancient stringed instrument that’s typically associated with Welsh music. Also called a crowd.","“Other curiosities include ... a crwth, the missing link between the Greek lyre and bowed and plucked medieval instruments.” Adele Freedman; Musical Magic a Treat for the Eyes; The Globe and Mail (Toronto, Canada); Dec 9, 1980."
"cwtch","noun:	1. A hiding place, such as a cupboard or a cubbyhole.
	2. A hug or a cuddle.
verb tr.:	To hug or cuddle.
verb intr.:	1. To crouch down.
	2. To hide.
","“Oh, lovely Catherine Zeta-Jones, You make me tingle in my bones. Fancy a cwtch with me tomorrow, Or must I wear the Mask of Sorrow? (poem by Ed Edwards)” Week 649: Across the Wide What?; The Washington Post; Feb 12, 2006."
"trimmer","noun:
1. One who adjusts beliefs, opinions, and actions to suit personal interest.
2. A person or a tool that clips, shortens, neatens, etc.","“Overton particularly disliked him as a political trimmer, prepared to cut his conscience to the prevailing fashion.” Frank McLynn; The Road Not Taken; Bodley Head; 2012. “Stanley Kunitz: ‘Most of all, I love being alive. I love the natural world -- and caring and creative people -- and the seekers of justice and truth. Whom do I disdain? Bigots, reactionaries, self-righteous people, zealots, trimmers, bullies, and manipulators.” Bill Moyers; Fooling With Words; William Morrow; 1999."
"bilge","noun:	1. The bottom (inner or outer) part of a ship or a boat.
	2. Water, oil, and waste that collect in the lowest part of a ship or a boat.
	3. Nonsense; rubbish.
	4. The bulging part of a barrel or a cask.
verb:	1. To bulge or swell.
tr., intr.	2. To break a hole.
	3. To spring a leak.
","“Mr [Don] Blankenship is a doughy, charmless ex-convict who praised China’s ‘dictatorial capitalism’ and spent a year in prison for conspiring to evade federal mine-safety standards after an accident killed 29 men at one of his company’s mines. His campaign ads featured him staring into the camera while droning racist bilge.” The Centre Mostly Holds; The Economist (London, UK); May 12, 2018. “The boat crashed down on the rail instantly, bilged itself out of further action; and in so doing killed and injured several of the seamen engaged in hoisting it out.” Frank H. Shaw; A Proud and Noble Tragedy: The Sinking of the Birkenhead; Sea Classics (Canoga Park, California); Oct 2001."
"nauseate","verb tr., intr.
1. To experience or induce nausea (stomach distress with an urge to vomit).
2. To feel or evoke disgust.","“It nauseates me to think of how much of our lives are spent in front of screens.” Francine Kopun; How I Spent Two Days Without TV; Toronto Star (Canada); Apr 14, 2010."
"keel","noun:	1. The beam along the length of the base of a ship or boat on which the frame is built.
	2. A fin-like structure on the bottom of a hull, improving stability.
verb tr., intr.:	To capsize, collapse, or fall.
","“A grain of the opioid fell to the floor. He concentrated on trying to pick it up, then lost track, as his body went limp. His shoulders slumped and he slowly keeled forward.” Rachel Uranga; Plenty of Empty Seats on the Train; Los Angeles Times; Mar 15, 2023."
"by and large","adverb: In general; on the whole.","“‘Where my life is at the moment, it’s very difficult to do comedy about -- because by and large I’m happy. And nobody really wants to hear about that,’ [Hannah Gadsby] says with a laugh. ‘People love misery.’” Kerrie O’Brien; The Great Gadsby Takes on the World, Again; Sydney Morning Herald (Australia); Aug 27, 2022."
"eclat or éclat","noun:
1. Enthusiastic approval or praise.
2. A strikingly brilliant display or effect.
3. Notable success.","“Angry Penguins published the work with great eclat.” Michael McGirr; New Twist on 80-Year-Old Literary Hoax; Sydney Morning Herald (Australia); Jul 3, 2021."
"bosky","adjective:
1. Densely wooded; covered in trees and shrubs.
2. Pertaining to forests or wooded areas.","“The coastal trainline passed a seashore in places ... as lush and bosky as the Great Bear Rainforest.” J.R. Patterson; Easy Beauty and the Bosom of Friendship Is What You Get from Wexford; The Globe and Mail (Toronto, Canada); Oct 12, 2022."
"fubsy","adjective: Short and stout; stocky.","“Biggs was a fubsy pudding of a character with a hairpiece that could only have been ordered by dialling 1-800 Toupees.” Woody Allen; Mr Biggs and the Boychick; The Daily Telegraph (London, UK); Jun 23, 2007."
"gleed","noun: A glowing coal.","“Alexander loves and desires her who is sighing for his love. ... Their love grows and increases continually; but the one feels shame before the other; and each conceals and hides this love so that neither flame nor smoke is seen from the gleed beneath the ashes. But the heat is none the less for that; rather the heat lasts longer below the gleed than above it.” Chrétien de Troyes (Translation: L.J. Gardiner); Cliges; Cooper Square Publishers; 1966."
"sapid","adjective:
1. Having a pleasant taste or flavor.
2. Pleasant; engaging; stimulating.","“Sharma’s is perfect for date night, buddy’s night, and family night because mouthwateringly sapid food in an elegant-yet-relaxed atmosphere pairs perfectly with any mood.” Michelle Schaefer; Sharma’s Kitchen a Delight for Vegan Taste Buds; Journal & Courier (Lafayette, Indiana); Jul 16, 2018. “Taalbelia [music festival] was a sapid mix of art and culture, tradition and modernity.” Ursila Ali; Desert Disco; India Today (New Delhi); Feb 27, 2017."
"farce","noun:	1. A light play, film, or literary work involving absurd, exaggerated, or improbable situations.
	2. Humor of this type.
	3. An absurd or ridiculous situation; mockery.
	4. A mix of finely chopped ingredients used as stuffing.
verb tr.:	1. To pad a speech or written work with jokes or witty remarks.
	2. To stuff or fill with culinary mixture.
","“Election night [in autocracies] is a lifeless tableau of power, often with a hint of farce in the naked ballot-stuffing and inflated tallies.” The Drama of Democracy; The Economist (London, UK); Jul 13, 2024."
"jammy","adjective:
1. Covered with, made with, or like jam; sticky or sweet in texture or appearance.
2. Easy, pleasant, desirable, or profitable, often referring to a situation or opportunity.
3. Lucky, implying an unearned or undeserved advantage.","“‘So, um, Lucy is the food columnist at the paper,’ Greg said, ‘I’m queuing up for a jammy gig like that.’” Sophie Cousens; This Time Next Year; Putnam; 2020. “’Fitzpatrick,’ slurred Brennie. ‘You’re a jammy sod. You rarely lose a bet, you have hollow legs, and you’re your own man. You don’t have a trouble in the world.” Roddy L’Estrange; Sensory Perception Plants Doubt and Confusion; Irish Times (Dublin); May 7, 2008."
"tripe","noun
1. The lining from the stomach of a ruminant animal, especially cattle and sheep, used as food.
2. Worthless or rubbish (often used to describe written or spoken material).","“I didn’t want to watch the reality-TV tripe.” William McInnes; “Elvis Plays a Former Trapeze Artist With Vertigo Who Becomes a Nightclub Singer”; The Courier-Mail (Brisbane, Australia); Mar 23, 2019. “[Stan] Lee would send a story for an issue to an artist, who would lay out the actual story on the page, leaving room for dialog. Lee would then fill in the bubbles, often with melodramatic, pseudo-Shakespearean tripe.” Adam Rogers; To Be Continued ...; Wired (San Francisco, California); Jan 2019."
"barmy","adjective:
1. Full of froth.
2. Exciting or excited.
3. Crazy; foolish; eccentric.","“Ambrosio is a heck of a teller ... whose fits of emotion and loquacity are delightfully barmy.” David Kamp; Every Cheese Has a Story; New York Times Book Review; Aug 4, 2013. “No one denies that the Web is a miracle for writers and a barmy alternative to certain research drudgery.” Arthur Plotnik; Who Loves You Like the Library?; The Writer (Braintree, Massachusetts); Nov 2003. “A typically barmy request from a colleague who thinks London has only one postcode: N1.” Huw Edwards; Diary; The Spectator (London, UK); Apr 17, 2021."
"taffy","noun:
1. A soft, chewy candy made by boiling sugar, butter, and other ingredients, then repeatedly pulling the mixture to incorporate air, resulting in a light, fluffy texture.
2. Insincere flattery.","“I want you to listen to one woman who will tell you the unadulterated hard truth instead of a lot of sentimental taffy.” Sinclair Lewis; It Can’t Happen Here; Doubleday; 1935."
"whatness","noun: That which constitutes the fundamental nature of a thing: the essence or inherent quality.","“I refer, of course, to an intuitive grasp of substances, or an easy familiarity with the whatness of things.” Will Hoyt; The Consuming Fire; New Oxford Review (Berkeley, California); Jan/Feb 2016."
"fleshment","noun: Excitement resulting from a first success at something.","“Lexicographers sought out the thrill of the chase as much as detectives did. She remembered her linguistic fleshment, when she’d discovered as a student that ‘thrill’ itself, in medieval times, had meant to pierce someone with a sword; only later did the ‘piercing’ move to excitement.” Susie Dent; Guilty by Definition; Bonnier Books; 2024."
"pejorism","noun: The belief that the world is becoming worse.","“It is pejorism in this sense that Housman conveys: ‘the world has still Much good, but much less good than ill’” E.E. Sheng; Housman’s Compassionate Didactic; Victorian Poetry (Morgantown, West Virginia); Winter 2020."
"uniquity","noun: The quality of being the only one of its kind.","“The other guidelines we considered include affordability (most are under $100), uniquity (we tried to find things you might not have), and locality (by emphasizing smaller, SoCal-based businesses).” Gift Guide; Los Angeles Times; Nov 1, 2020."
"whereness","noun: The condition or essence of being situated or existing in a specific place or location.","“The ambiguity of ‘size or location’ is key to [Giorgio] Morandi’s indelible modernity. It’s as if he had set out, time and again, to nail down the whatness of his objects but couldn’t get beyond the preliminary matter of their whereness.” Peter Schjeldahl; Tables for One; The New Yorker; Sep 22, 2008."
"chalk line","noun:
1. A standard of proper behavior.
2. A line made with chalk or a similar substance.","“‘They were tough, but they were fair. In other words, they made us walk the chalk line. But it did not hurt us one bit. We learned,’ Kissell said.” Dillon Carr; Former Educators, Students Say Goodbye to St. Florian School; Pittsburgh Tribune-Review (Pennsylvania); Feb 20, 2017."
"ratchet","noun:	1. A mechanism consisting of a toothed wheel or bar engaged by a pawl to allow controlled movement in one direction only.
	2. An incremental change, typically in one direction and irreversible.
verb tr., intr.:	To move or to cause to move in small increments, especially progressively or irreversibly.
","“Israel accused Iran of trying to ratchet up hostilities.” Mark Weiss; The State of the State of Israel at 75; The Jerusalem Report (Israel); May 8, 2023. “I went in search of ways to ratchet down my own worry.” Jessica Migala; The Upside of Anxiety; O: the Oprah Magazine (New York); Jan 2022."
"parish pump","noun: A water pump shared by people within a small area.
adjective: Of local, often trivial, interest or importance.","“[Patricia Anne Churchill] wanted the paper, through feature pages, to cover subjects of greater interest ... and make the paper less parish-pump.” Paul Elenio; Pat Tested Boundaries, Shaped the Post; Dominion Post (Wellington, New Zealand); Aug 15, 2015."
"windmill","noun:	1. A machine powered by wind.
	2. An imagined enemy, opponent, or threat.
verb tr., intr.:	To move or to cause to move like a windmill.
","“If the Tories had set out in government with the aim of deliberately making themselves unpopular, they might not have proceeded very differently. What would a strategy for Conservative electoral suicide have required? The economy suffocated. (Tick!) The party brand painted in old contaminants: tax favours for the rich, public services cut, chaos in the NHS, boggle-eyed tilts at European windmills, scowls for immigrants. (Tick!) The whole package seasoned with division, U-turns, and incompetence. (Tick!)” Rafael Behr; The Politics Column; New Statesman (London, UK); Apr 26, 2013."
"Swiss Army knife","noun:
1. A pocketknife, with multiple blades and other tools such as scissors, saw, corkscrew, can opener, etc.
2. A person or object with many diverse skills or functions.","“Phosphorus is a chemical Swiss Army knife. It is essential for life, a component of cells and bones, the prime part of a matchstick, an agricultural fertilizer, an ingredient in some insecticides, and emanates an eerie glow.” Tony Miksanek; White Light: The Elemental Role of Phosphorus; The Booklist (Chicago, Illinois); Mar 1, 2025. “Environmental health professionals are the Swiss Army knives of the scientific community with knowledge of numerous scientific disciplines, along with evaluation, management, problem-solving, collaboration, communication, and conflict-resolution skills practiced from the laboratory to the community.” Note of Thanks to Departing Board Members; Journal of Environmental Health (Denver, Colorado); Sep 2024."
"alsatia","noun
1. A sanctuary.
2. A lawless place.","“‘[The] state has set out to create an Alsatia -- a region of executive action free of judicial oversight,’ said Lord Justice Sedley.” Paul Lashmar; Law Lords Slam Crime Agency for Freezing UMBS Payments; The Independent on Sunday (London, UK); May 27, 2007. “Maggie always appeared in the most amiable light at her aunt Moss’s; it was her Alsatia, where she was out of the reach of law.” George Eliot; The Mill on the Floss; William Blackwood and Sons; 1860."
"Carthaginian peace","noun: Peace or settlement in which very harsh terms are imposed on the defeated side.","“Serbia’s strongman, Slobodan Milosevic, proclaimed peace last week in the rebellious province of Kosovo. ... Kosovo was, in truth, at peace, a Carthaginian peace of fire and total devastation.” Eric Margolis; The Devastation in Kosovo Has to End; The Record (Kitchener, Canada); Oct 5, 1998."
"Cathay","noun:
1. A remote and exotic land, steeped in mystery, richness, and bliss.
2. A literary name for China.","“To reach a Cathay of spiritual harmony.” Benjamin Townley Spencer; Patterns of Nationality; B. Franklin; 1981."
"siberianize","verb tr.: To send to a remote location as a form of punishment.","“As if, for instance, I were ... to be siberianized for flagrant delight of opinion.” Christine Brooke-Rose; Amalgamemnon; Carcanet Press; 1984."
"Botany Bay","noun: A place of exile, punishment, or hard labor.","“Corrupt companies, incompetent governmental agencies, and gutless politicians are the real culprits. There must be a Botany Bay where these characters can be exiled.” Jim Dooley; For Whom Amnesty Tolls; The News Press (Fort Myers, Florida); Jul 17, 2007."
"nithing","noun:	1. A coward.
	2. An outlaw.
	3. A miser.
adjective:	1. Cowardly.
	2. Treacherous.
	3. Miserly.
","“Surely there must be one among this crowd of nithings who has the guts to face a woman in combat?” Joanna Fulford; Surrender To The Viking; Mills & Boon Historical; 2014."
